COUNTRY,CITY,
ANGOLA,DUNDO, 
ANGOLA,HUAMBO, 
ANGOLA,JAMBA, 
ANGOLA,KUITO, 
ANGOLA,LANDANA, 
ANGOLA,LIEURA, 
ANGOLA,LOBITO, 
ANGOLA,LUANDA, 
ANGOLA,LUAU, 
ANGOLA,LUBANGO, 
ANGOLA,LUCIRA, 
ANGOLA,LUENA, 
ANGOLA,LUKAPA, 
ANGOLA,LUMBALA, 
ANGOLA,LUZAMBA, 
ANGOLA,M'BANZA CONGO, 
ANGOLA,MALANGE, 
ANGOLA,MENONGUE, 
ANGOLA,N'RIQUINHA, 
ANGOLA,N'ZETO, 
ANGOLA,NAMIBE, 
ANGOLA,NDALATANDOS, 
ANGOLA,NEGAGE, 
ANGOLA,NGIVA, 
ANGOLA,NOVO REDONDO, 
ANGOLA,NZAGI, 
ANGOLA,ONGIVA, 
ANGOLA,PALANCA TERMINAL, 
ANGOLA,PORTO ALEXANDRE, 
ANGOLA,PORTO AMBOIM, 
ANGOLA,SAN ANTONIO DO ZAIRE, 
ANGOLA,SAURIMO, 
ANGOLA,SOYO, 
ANGOLA,SOYO-QUINFUQUENA TERMINAL, 
ANGOLA,SUMBE, 
ANGOLA,TAKULA TERMINAL, 
ANGOLA,UIGE, 
ANGOLA,WACO KUNGO, 
ANGOLA,XANGONGO, 
ANGUILLA,ANGUILLA, 
ANGUILLA,BLOWING POINT, 
ANGUILLA,THE FOREST, 
ANGUILLA,THE ROAD, 
ANTARCTICA,TENIENTE R. MARSH, 
ANTARCTICA,TERRA NOVA, 
ANTIGUA AND BARBUDA,ANTIGUA, 
ANTIGUA AND BARBUDA,BARBUDA, 
ANTIGUA AND BARBUDA,ST JOHN'S, 
ARGENTINA,ALTO RIO SENGUERR, 
ARGENTINA,BAHIA BLANCA, 
ARGENTINA,BAHIA BLANCA-CUATREROS, 
ARGENTINA,BAHIA BLANCA-INGENIERO WHITE, 
ARGENTINA,BAHIA BLANCA-PUERTO BELGRANO, 
ARGENTINA,BAHIA BLANCA-PUERTO GALVAN, 
ARGENTINA,BAHIA BLANCA-PUERTO NACIONAL, 
ARGENTINA,BAHIA BLANCA-PUERTO ROSALES, 
ARGENTINA,BARRANQUERAS, 
ARGENTINA,BUENOS AIRES, 
ARGENTINA,BUENOS AIRES/ARPT. JORGE NEWBERY, 
ARGENTINA,BUENOS AIRES/MINISTRO PISTARINI, 
ARGENTINA,CALETA CORDOBA, 
ARGENTINA,CALETA OLIVIA, 
ARGENTINA,CAMPANA, 
ARGENTINA,CARMEN DE PATAGONES, 
ARGENTINA,CATAMARCA, 
ARGENTINA,CAVIAHUE, 
ARGENTINA,CERES, 
ARGENTINA,CHARATA, 
ARGENTINA,CHOS MALAL, 
ARGENTINA,CLORINDA, 
ARGENTINA,COLON, 
ARGENTINA,COLONIA CATRIEL, 
ARGENTINA,COLONIA SARMIENTO, 
ARGENTINA,COMODORO RIVADAVIA, 
ARGENTINA,CONCEPCION DEL URUGUAY, 
ARGENTINA,CONCORDIA, 
ARGENTINA,CORDOBA, 
ARGENTINA,CORRIENTES, 
ARGENTINA,CURUZU CUATIA, 
ARGENTINA,CUTRAL, 
ARGENTINA,DIAMANTE, 
ARGENTINA,EL BOLSON, 
ARGENTINA,EL MAITEN, 
ARGENTINA,ELDORADO, 
ARGENTINA,EMBARCACION, 
ARGENTINA,ESQUEL, 
ARGENTINA,FORMOSA, 
ARGENTINA,GENERAL PICO, 
ARGENTINA,GENERAL ROCA, 
ARGENTINA,GENERAL VILLEGAS, 
ARGENTINA,GOBERNADOR GREGORES, 
ARGENTINA,GOYA, 
ARGENTINA,GUALEGUAYCHU, 
ARGENTINA,IBICUY, 
ARGENTINA,IGUAZU, 
ARGENTINA,INGENIERO JACOBACCI, 
ARGENTINA,JOSE DE SAN MARTIN, 
ARGENTINA,JUJUY, 
ARGENTINA,JUNIN, 
ARGENTINA,LA CUMBRE, 
ARGENTINA,LA PLATA, 
ARGENTINA,LA RIOJA, 
ARGENTINA,LAGO ARGENTINO, 
ARGENTINA,LAS HERAS, 
ARGENTINA,LAS LOMITAS, 
ARGENTINA,LEDESMA, 
ARGENTINA,LONCOPUE, 
ARGENTINA,LOS MENUCOS, 
ARGENTINA,MALARGUE, 
ARGENTINA,MAQUINCHAO, 
ARGENTINA,MAR DEL PLATA, 
ARGENTINA,MENDOZA, 
ARGENTINA,MERCEDES, 
ARGENTINA,MIRAMAR, 
ARGENTINA,MONTE CASEROS, 
ARGENTINA,MOSCONI, 
ARGENTINA,NECOCHEA, 
ARGENTINA,NEUQUEN, 
ARGENTINA,OLIVOS, 
ARGENTINA,ORAN, 
ARGENTINA,PARANA, 
ARGENTINA,PASO DE LOS LIBRES, 
ARGENTINA,PEHUAJO, 
ARGENTINA,PERITO MORENO, 
ARGENTINA,PICHANAL, 
ARGENTINA,PILCOMAYO, 
ARGENTINA,PINAMAR, 
ARGENTINA,POSADAS, 
ARGENTINA,PRESIDENT ROQUE SAENZ PENA, 
ARGENTINA,PUERTO BORGHI, 
ARGENTINA,PUERTO DESEADO, 
ARGENTINA,PUERTO MADRYN, 
ARGENTINA,PUNTA COLORADA, 
ARGENTINA,PUNTA LOYOLA, 
ARGENTINA,PUNTA QUILLA, 
ARGENTINA,QUEQUÉN, 
ARGENTINA,RAMALLO, 
ARGENTINA,RECONQUISTA, 
ARGENTINA,RESISTENCIA, 
ARGENTINA,RINCON DE LOS SAUCES, 
ARGENTINA,RIO CUARTO, 
ARGENTINA,RIO GALLEGOS, 
ARGENTINA,RIO GRANDE, 
ARGENTINA,RIO HONDO, 
ARGENTINA,RIO MAYO, 
ARGENTINA,RIO TURBIO, 
ARGENTINA,ROSARIO, 
ARGENTINA,SAENZ PENA, 
ARGENTINA,SALTA, 
ARGENTINA,SAN ANTONIO ESTE, 
ARGENTINA,SAN ANTONIO OESTE, 
ARGENTINA,SAN CARLOS DE BARILOCHE, 
ARGENTINA,SAN FERNANDO, 
ARGENTINA,SAN JUAN, 
ARGENTINA,SAN JULIAN, 
ARGENTINA,SAN LORENZO, 
ARGENTINA,SAN LUIS, 
ARGENTINA,SAN MARTIN DELOS ANDES, 
ARGENTINA,SAN NICOLAS DE LOS LOS ARROYOS, 
ARGENTINA,SAN PEDRO, 
ARGENTINA,SAN RAFAEL, 
ARGENTINA,SAN SEBASTIAN, 
ARGENTINA,SANTA CRUZ, 
ARGENTINA,SANTA FE, 
ARGENTINA,SANTA ROSA, 
ARGENTINA,SANTA TERESITA, 
ARGENTINA,SANTIAGO DEL ESTERO, 
ARGENTINA,SIERRA GRANDE, 
ARGENTINA,TANDIL, 
ARGENTINA,TARTAGAL, 
ARGENTINA,TRELEW, 
ARGENTINA,TRES ARROYOS, 
ARGENTINA,TUCUMAN, 
ARGENTINA,USHUAIA, 
ARGENTINA,VALCHETA, 
ARGENTINA,VIEDMA, 
ARGENTINA,VILLA CONSTITUCION, 
ARGENTINA,VILLA DOLORES, 
ARGENTINA,VILLA GESELL, 
ARGENTINA,VILLA MERCEDES, 
ARGENTINA,ZAPALA, 
ARGENTINA,ZARATE, 
ARMENIA,GYOUMRI, 
ARMENIA,YEREVAN, 
ARUBA,ARUBA, 
ARUBA,BARCADERA, 
ARUBA,BUSHIRIBANA, 
ARUBA,DRUIF, 
ARUBA,ORANJESTAD, 
ARUBA,SINT NICOLAAS, 
AUSTRALIA,ABBOT POINT, 
AUSTRALIA,ABINGDON, 
AUSTRALIA,ADELAIDE, 
AUSTRALIA,AGNEW, 
AUSTRALIA,AIRLIE BEACH, 
AUSTRALIA,ALBANY, 
AUSTRALIA,ALBURY, 
AUSTRALIA,ALEXANDRIA, 
AUSTRALIA,ALICE SPRINGS, 
AUSTRALIA,ALPHA, 
AUSTRALIA,ALROY DOWNS, 
AUSTRALIA,ALTON DOWNS, 
AUSTRALIA,AMATA, 
AUSTRALIA,AMERICAN RIVER, 
AUSTRALIA,AMMAROO, 
AUSTRALIA,ANDAMOOKA, 
AUSTRALIA,ANGUS DOWNS, 
AUSTRALIA,ANTHONY LAGOON, 
AUSTRALIA,ARAMAC, 
AUSTRALIA,ARARAT, 
AUSTRALIA,ARDROSSAN, 
AUSTRALIA,ARGYLE, 
AUSTRALIA,ARGYLE DOWNS, 
AUSTRALIA,ARMIDALE, 
AUSTRALIA,ARRABURY, 
AUSTRALIA,AUGUSTUS DOWNS, 
AUSTRALIA,AURUKUN MISSION, 
AUSTRALIA,AUSTRAL DOWNS, 
AUSTRALIA,AUVERGNE, 
AUSTRALIA,AVALON, 
AUSTRALIA,AYERS ROCK, 
AUSTRALIA,AYR, 
AUSTRALIA,BADU ISLAND, 
AUSTRALIA,BAIRNSDALE, 
AUSTRALIA,BALCANOONA, 
AUSTRALIA,BALGO HILLS, 
AUSTRALIA,BALLAST HEAD, 
AUSTRALIA,BALLINA, 
AUSTRALIA,BALRANALD, 
AUSTRALIA,BAMAGA, 
AUSTRALIA,BANIYALA, 
AUSTRALIA,BANKSTOWN, 
AUSTRALIA,BARCALDINE, 
AUSTRALIA,BARKLY DOWNS, 
AUSTRALIA,BARROW ISLAND, 
AUSTRALIA,BATAVIA DOWNS, 
AUSTRALIA,BATHURST, 
AUSTRALIA,BATHURST ISLAND, 
AUSTRALIA,BEACHPORT, 
AUSTRALIA,BEAGLE BAY, 
AUSTRALIA,BEAUTY POINT, 
AUSTRALIA,BEDFORD DOWNS, 
AUSTRALIA,BEDOURIE, 
AUSTRALIA,BELL BAY, 
AUSTRALIA,BENALLA, 
AUSTRALIA,BENDIGO, 
AUSTRALIA,BETOOTA, 
AUSTRALIA,BEVERLEY SPRINGS, 
AUSTRALIA,BICKERTON ISLAND, 
AUSTRALIA,BIG BELL, 
AUSTRALIA,BILLILUNA, 
AUSTRALIA,BILOELA, 
AUSTRALIA,BIRDSVILLE, 
AUSTRALIA,BIZANT, 
AUSTRALIA,BLACKALL, 
AUSTRALIA,BLACKWATER, 
AUSTRALIA,BLOOMFIELD, 
AUSTRALIA,BOIGU ISLAND, 
AUSTRALIA,BOLLON, 
AUSTRALIA,BOLWARRA, 
AUSTRALIA,BORROLOOLA, 
AUSTRALIA,BOTANY BAY, 
AUSTRALIA,BOULIA, 
AUSTRALIA,BOURKE, 
AUSTRALIA,BOWEN, 
AUSTRALIA,BRAMPTON ISLAND, 
AUSTRALIA,BREWARRINA, 
AUSTRALIA,BRIGHT, 
AUSTRALIA,BRIGHTON DOWNS, 
AUSTRALIA,BRISBANE, 
AUSTRALIA,BROADMEADOWS, 
AUSTRALIA,BROKEN HILL, 
AUSTRALIA,BROOME, 
AUSTRALIA,BRUNETTE DOWNS, 
AUSTRALIA,BULIMBA, 
AUSTRALIA,BUNBURY, 
AUSTRALIA,BUNDABERG, 
AUSTRALIA,BURKETOWN, 
AUSTRALIA,BURNIE, 
AUSTRALIA,BUSSELLTON, 
AUSTRALIA,BUSSELTON, 
AUSTRALIA,CAIGUNA, 
AUSTRALIA,CAIRNS, 
AUSTRALIA,CALOUNDRA, 
AUSTRALIA,CALOUNDRA HEAD, 
AUSTRALIA,CAMDEN, 
AUSTRALIA,CAMFIELD, 
AUSTRALIA,CAMOOWEAL, 
AUSTRALIA,CANBERRA, 
AUSTRALIA,CANOBIE, 
AUSTRALIA,CAPE BARREN ISLAND, 
AUSTRALIA,CAPE CUVIER, 
AUSTRALIA,CAPE FLATTERY, 
AUSTRALIA,CAPE LAMBERT, 
AUSTRALIA,CAPE LEEUWIN, 
AUSTRALIA,CAPE PRESTON, 
AUSTRALIA,CARLTON HILL, 
AUSTRALIA,CARNARVON, 
AUSTRALIA,CARPENTARIA DOWNS, 
AUSTRALIA,CASINO, 
AUSTRALIA,CATHERINE HILL BAY, 
AUSTRALIA,CATTLE CREEK, 
AUSTRALIA,CEDUNA, 
AUSTRALIA,CESSNOCK, 
AUSTRALIA,CHALLIS VENTURE (OIL TERMINAL), 
AUSTRALIA,CHARLEVILLE, 
AUSTRALIA,CHARTERS TOWERS, 
AUSTRALIA,CHATSWOOD, 
AUSTRALIA,CHERRABUN, 
AUSTRALIA,CHERRIBAH, 
AUSTRALIA,CHILLAGOE, 
AUSTRALIA,CHINCHILLA, 
AUSTRALIA,CHRISTMAS CREEK, 
AUSTRALIA,CLARENCE RIVER, 
AUSTRALIA,CLERMONT, 
AUSTRALIA,CLEVE, 
AUSTRALIA,CLIFTON HILLS, 
AUSTRALIA,CLONCURRY, 
AUSTRALIA,CLUNY, 
AUSTRALIA,COBAR, 
AUSTRALIA,COCONUT ISLAND, 
AUSTRALIA,COEN, 
AUSTRALIA,COFFS HARBOUR, 
AUSTRALIA,COLAC, 
AUSTRALIA,COLLAN ISLANDS, 
AUSTRALIA,COLLARENEBRI, 
AUSTRALIA,COLLIE, 
AUSTRALIA,COLLINSVILLE, 
AUSTRALIA,CONDOBOLIN, 
AUSTRALIA,COOBER PEDY, 
AUSTRALIA,COOINDA, 
AUSTRALIA,COOKTOWN, 
AUSTRALIA,COOLAH, 
AUSTRALIA,COOLAWANYAH, 
AUSTRALIA,COOLIBAH, 
AUSTRALIA,COOMA, 
AUSTRALIA,COONABARABRAN, 
AUSTRALIA,COONAMBLE, 
AUSTRALIA,COORABIE, 
AUSTRALIA,COOTAMUNDRA, 
AUSTRALIA,CORDILLO DOWNS, 
AUSTRALIA,COROWA, 
AUSTRALIA,CORRYONG, 
AUSTRALIA,COSSACK PIONEER (OIL TERMINAL), 
AUSTRALIA,COWARIE, 
AUSTRALIA,COWELL, 
AUSTRALIA,COWRA, 
AUSTRALIA,CRESSWELL DOWNS, 
AUSTRALIA,CROKER ISLAND, 
AUSTRALIA,CROYDON, 
AUSTRALIA,CUDAL, 
AUSTRALIA,CUE, 
AUSTRALIA,CUNNAMULLA, 
AUSTRALIA,DALBY, 
AUSTRALIA,DALGARANGA, 
AUSTRALIA,DALY RIVER, 
AUSTRALIA,DALY WATERS, 
AUSTRALIA,DAMPIER, 
AUSTRALIA,DARNLEY ISLAND, 
AUSTRALIA,DARRA, 
AUSTRALIA,DARWIN, 
AUSTRALIA,DAUAN ISLAND, 
AUSTRALIA,DAVENPORT DOWNS, 
AUSTRALIA,DAYDREAM ISLAND, 
AUSTRALIA,DELISSAVILLE, 
AUSTRALIA,DELTA DOWNS, 
AUSTRALIA,DENHAM, 
AUSTRALIA,DENILIQUIN, 
AUSTRALIA,DERBY, 
AUSTRALIA,DEVONPORT, 
AUSTRALIA,DIAMANTINA LAKES, 
AUSTRALIA,DIRRANBANDI, 
AUSTRALIA,DIXIE, 
AUSTRALIA,DOCKER RIVER, 
AUSTRALIA,DONGARA, 
AUSTRALIA,DOOMADGEE, 
AUSTRALIA,DOONGAN, 
AUSTRALIA,DORUNDA STATION, 
AUSTRALIA,DRUMDUFF, 
AUSTRALIA,DRYSDALE RIVER, 
AUSTRALIA,DUBBO, 
AUSTRALIA,DULKANINNA, 
AUSTRALIA,DUNBAR, 
AUSTRALIA,DUNK ISLAND, 
AUSTRALIA,DURHAM DOWNS, 
AUSTRALIA,DURRIE, 
AUSTRALIA,DYSART, 
AUSTRALIA,ECHUCA, 
AUSTRALIA,EDEN, 
AUSTRALIA,EDITHBURGH, 
AUSTRALIA,EDWARD RIVER, 
AUSTRALIA,EINASLEIGH, 
AUSTRALIA,ELCHO ISLAND, 
AUSTRALIA,ELECTRONA, 
AUSTRALIA,ELKEDRA, 
AUSTRALIA,EMERALD, 
AUSTRALIA,ENEABBA WEST, 
AUSTRALIA,ERLDUNDA, 
AUSTRALIA,ERNABELLA, 
AUSTRALIA,ESPERANCE, 
AUSTRALIA,ETADUNNA, 
AUSTRALIA,EUCLA, 
AUSTRALIA,EVA DOWNS, 
AUSTRALIA,EVANS HEAD, 
AUSTRALIA,EXMOUTH, 
AUSTRALIA,EXMOUTH GULF, 
AUSTRALIA,FALLS CREEK, 
AUSTRALIA,FINKE, 
AUSTRALIA,FINLEY, 
AUSTRALIA,FISHERMAN ISLANDS, 
AUSTRALIA,FITZROY CROSSING, 
AUSTRALIA,FLINDERS ISLAND, 
AUSTRALIA,FLORA VALLEY, 
AUSTRALIA,FORBES, 
AUSTRALIA,FORREST, 
AUSTRALIA,FORREST RIVER, 
AUSTRALIA,FORSTER, 
AUSTRALIA,FOSSIL DOWNS, 
AUSTRALIA,FREMANTLE, 
AUSTRALIA,FREMANTLE, 
AUSTRALIA,GAMBOOLA, 
AUSTRALIA,GARDEN POINT, 
AUSTRALIA,GASCOYNE JUNCTION, 
AUSTRALIA,GAYNDAH, 
AUSTRALIA,GEELONG, 
AUSTRALIA,GEORGE TOWN, 
AUSTRALIA,GEORGETOWN, 
AUSTRALIA,GERALDTON, 
AUSTRALIA,GIBB RIVER, 
AUSTRALIA,GLADSTONE, 
AUSTRALIA,GLEBE ISLAND, 
AUSTRALIA,GLEN INNES, 
AUSTRALIA,GLENGYLE, 
AUSTRALIA,GLENORMISTON, 
AUSTRALIA,GOLD COAST, 
AUSTRALIA,GOLDSWORTHY, 
AUSTRALIA,GOODE IS, 
AUSTRALIA,GOONDIWINDI, 
AUSTRALIA,GORDON DOWNS, 
AUSTRALIA,GOSFORD, 
AUSTRALIA,GOULBURN, 
AUSTRALIA,GOULBURN ISLAND, 
AUSTRALIA,GOVE, 
AUSTRALIA,GRAFTON, 
AUSTRALIA,GRANITES, 
AUSTRALIA,GREAT KEPPEL ISLAND, 
AUSTRALIA,GREENHEAD, 
AUSTRALIA,GREENVALE, 
AUSTRALIA,GREGORY DOWNS, 
AUSTRALIA,GRENFELL, 
AUSTRALIA,GRIFFIN VENTURE (OIL TERMINAL), 
AUSTRALIA,GRIFFITH, 
AUSTRALIA,GROOTE EYLANDT, 
AUSTRALIA,GUNNEDAH, 
AUSTRALIA,GYMPIE, 
AUSTRALIA,HALLS CREEK, 
AUSTRALIA,HAMILTON, 
AUSTRALIA,HAMILTON ISLAND, 
AUSTRALIA,HARDY ISLAND, 
AUSTRALIA,HAWKER, 
AUSTRALIA,HAY, 
AUSTRALIA,HAYMAN ISLAND, 
AUSTRALIA,HAYPOINT, 
AUSTRALIA,HEADINGLY, 
AUSTRALIA,HEATHLANDS, 
AUSTRALIA,HELENVALE, 
AUSTRALIA,HENBURY, 
AUSTRALIA,HERMANNSBURG, 
AUSTRALIA,HERON ISLAND, 
AUSTRALIA,HERVEY BAY, 
AUSTRALIA,HIGHBURY, 
AUSTRALIA,HILLSIDE, 
AUSTRALIA,HINCHINBROOK ISLAND, 
AUSTRALIA,HOBART, 
AUSTRALIA,HOOK ISLAND, 
AUSTRALIA,HOOKER CREEK, 
AUSTRALIA,HOPE TUN, 
AUSTRALIA,HOPE VALE, 
AUSTRALIA,HOPETOUN, 
AUSTRALIA,HORN ISLAND, 
AUSTRALIA,HORSHAM, 
AUSTRALIA,HUGHENDEN, 
AUSTRALIA,HUMBERT RIVER, 
AUSTRALIA,IFFLEY, 
AUSTRALIA,INDULKANA, 
AUSTRALIA,INGHAM, 
AUSTRALIA,INJUNE, 
AUSTRALIA,INKERMAN, 
AUSTRALIA,INNAMINCKA, 
AUSTRALIA,INNISFAIL, 
AUSTRALIA,INVERELL, 
AUSTRALIA,INVERWAY, 
AUSTRALIA,IPSWICH, 
AUSTRALIA,ISISFORD, 
AUSTRALIA,JABIRU, 
AUSTRALIA,JABIRU VENTURE (OIL TERMINAL), 
AUSTRALIA,JANDAKOT, 
AUSTRALIA,JULIA CREEK, 
AUSTRALIA,JUNDAH, 
AUSTRALIA,JURIEN BAY, 
AUSTRALIA,KALBARRI, 
AUSTRALIA,KALGOORLIE, 
AUSTRALIA,KALKURUNG, 
AUSTRALIA,KALPOWAR, 
AUSTRALIA,KALUMBURU, 
AUSTRALIA,KAMARAN DOWNS, 
AUSTRALIA,KAMBALDA, 
AUSTRALIA,KAMILEROI, 
AUSTRALIA,KARRATHA, 
AUSTRALIA,KARUMBA, 
AUSTRALIA,KATANNING, 
AUSTRALIA,KATHERINE, 
AUSTRALIA,KEMPSEY, 
AUSTRALIA,KERANG, 
AUSTRALIA,KIMBERLEY DOWNS, 
AUSTRALIA,KING BAY, 
AUSTRALIA,KING ISLAND, 
AUSTRALIA,KINGAROY, 
AUSTRALIA,KINGS CANYON, 
AUSTRALIA,KINGS CREEK STATION, 
AUSTRALIA,KINGSCOTE, 
AUSTRALIA,KINGSTON, 
AUSTRALIA,KIRKIMBIE, 
AUSTRALIA,KLEIN POINT, 
AUSTRALIA,KOOLAN ISLAND, 
AUSTRALIA,KOOLATAH, 
AUSTRALIA,KOOLBURRA, 
AUSTRALIA,KOONIBBA, 
AUSTRALIA,KOWANYAMA, 
AUSTRALIA,KUBIN ISLAND, 
AUSTRALIA,KULGERA, 
AUSTRALIA,KUNUNURRA, 
AUSTRALIA,KURNELL, 
AUSTRALIA,KURUNDI, 
AUSTRALIA,KWINANA, 
AUSTRALIA,LADY BARRON, 
AUSTRALIA,LADY ELLIOT ISLAND, 
AUSTRALIA,LAKE EVELLA, 
AUSTRALIA,LAKE GREGORY, 
AUSTRALIA,LAKE NASH, 
AUSTRALIA,LAKEFIELD, 
AUSTRALIA,LAKELAND DOWNS, 
AUSTRALIA,LANSDOWNE, 
AUSTRALIA,LATROBE, 
AUSTRALIA,LAUNCESTON, 
AUSTRALIA,LAURA, 
AUSTRALIA,LAURA STATION, 
AUSTRALIA,LAVERTON, 
AUSTRALIA,LAWN HILL, 
AUSTRALIA,LEARMONTH, 
AUSTRALIA,LEIGH CREEK, 
AUSTRALIA,LEINSTER, 
AUSTRALIA,LEONORA, 
AUSTRALIA,LIGHTNING RIDGE, 
AUSTRALIA,LIMBUNYA, 
AUSTRALIA,LINDA DOWNS, 
AUSTRALIA,LINDEMAN ISLAND, 
AUSTRALIA,LISMORE, 
AUSTRALIA,LISSADELL, 
AUSTRALIA,LIZARD ISLAND, 
AUSTRALIA,LOCK, 
AUSTRALIA,LOCKHART RIVER, 
AUSTRALIA,LONG ISLAND, 
AUSTRALIA,LONGREACH, 
AUSTRALIA,LORD HOWE ISLAND, 
AUSTRALIA,LORRAINE, 
AUSTRALIA,LOTUSVALE, 
AUSTRALIA,LUCINDA, 
AUSTRALIA,LYNDHURST, 
AUSTRALIA,MABUIAG ISLAND, 
AUSTRALIA,MACDONALD DOWNS, 
AUSTRALIA,MACKAY, 
AUSTRALIA,MACKSVILLE, 
AUSTRALIA,MACMAHON CAMP 4, 
AUSTRALIA,MAINORU, 
AUSTRALIA,MAITLAND, 
AUSTRALIA,MALLACOOTA, 
AUSTRALIA,MANDORA, 
AUSTRALIA,MANINGRIDA, 
AUSTRALIA,MANJIMUP, 
AUSTRALIA,MANNERS CREEK, 
AUSTRALIA,MARBLE BAR, 
AUSTRALIA,MAREEBA, 
AUSTRALIA,MARGARET RIVER, 
AUSTRALIA,MARGARET RIVER STATION, 
AUSTRALIA,MARION DOWNS, 
AUSTRALIA,MARLA, 
AUSTRALIA,MARQUA, 
AUSTRALIA,MARREE, 
AUSTRALIA,MARYBOROUGH, 
AUSTRALIA,MCARTHUR RIVER, 
AUSTRALIA,MEEKATHARRA, 
AUSTRALIA,MELBOURNE, 
AUSTRALIA,MELBOURNE/CITY HELIPORT, 
AUSTRALIA,MELBOURNE/ESSENDON, 
AUSTRALIA,MELROSE, 
AUSTRALIA,MERIMBULA, 
AUSTRALIA,MERLUNA, 
AUSTRALIA,MERTY, 
AUSTRALIA,MIDDLEMOUNT, 
AUSTRALIA,MILDURA, 
AUSTRALIA,MILINGIMBI, 
AUSTRALIA,MILLICENT, 
AUSTRALIA,MILNER BAY, 
AUSTRALIA,MINERS LAKE, 
AUSTRALIA,MINLATON, 
AUSTRALIA,MINNIPA, 
AUSTRALIA,MIRANDA DOWNS, 
AUSTRALIA,MITCHELL, 
AUSTRALIA,MITCHELL PLATEAU, 
AUSTRALIA,MITCHELL RIVER, 
AUSTRALIA,MITTIEBAH, 
AUSTRALIA,MONKEY MIA, 
AUSTRALIA,MONKIRA, 
AUSTRALIA,MONTO, 
AUSTRALIA,MOOLAWATANA, 
AUSTRALIA,MOOMBA, 
AUSTRALIA,MOORABBIN, 
AUSTRALIA,MOORABERREE, 
AUSTRALIA,MORANBAH, 
AUSTRALIA,MORAWA, 
AUSTRALIA,MOREE, 
